n,Sample_ID,Date,Date_n,C_species,C_species_n,Site,Location,Location_n,Pool_type,d13C,F14C,1sig_a,C14_age,1sig_b,C14_input,young_soln,young_soln+sd,young_soln-sd,old_soln,old_soln+sd,old_soln-sd,p_10y,p_50y,p_100y,p_300y,p_500y,p_1000y
1,P1-CO2-200514,20/05/2014,May-14,CO2,c,P01,Cross Lochs,a,Natural,-11.016,1.020626,0.004447,NA,NA,ranges2014-10ky,NA,NA,NA,192.29,166.86,202.7,3.54,16.49,30.2653,66.0886,83.5091,97.2805
2,P4-CO2-200514,20/05/2014,May-14,CO2,c,P04,Cross Lochs,a,Natural,-10.831,1.009365,0.004629,NA,NA,ranges2014-10ky,NA,NA,NA,227.16,210.01,218.25,3.01,14.15,26.2977,59.9647,78.2527,95.2706
3,P7-CO2-200514,20/05/2014,May-14,CO2,c,P07,Cross Lochs,a,Restoration,-18.11,1.044103,0.00478,NA,NA,ranges2014-10ky,2.59,3.27,1.89,133.09,123.4,136.04,5.07,22.93,40.5971,79.0385,92.6033,99.4529
4,P9-CO2-200514,20/05/2014,May-14,CO2,c,P09,Cross Lochs,a,Restoration,-16.48,1.025374,0.004691,NA,NA,ranges2014-10ky,NA,NA,NA,166.32,0.62,192.18,4.08,18.81,34.0811,71.3563,87.5535,98.4508
5,P10-CO2-200514,20/05/2014,May-14,CO2,c,P10,Cross Lochs,a,Restoration,-20.518,1.047425,0.004802,NA,NA,ranges2014-10ky,3.06,3.71,2.38,123.66,113.69,136.95,5.45,24.44,42.9092,81.392,93.935,99.6322
6,P1-DOC-200514,20/05/2014,May-14,DOC,a,P01,Cross Lochs,a,Natural,-27.163,1.003366,0.004599,NA,NA,ranges2014-10ky,NA,NA,NA,223.31,207.11,266.05,3.06,14.38,26.6848,60.5922,78.8178,95.5131
7,P4-DOC-200514,20/05/2014,May-14,DOC,a,P04,Cross Lochs,a,Natural,-27.257,0.986866,0.004516,106,37,ranges2014-10ky,NA,NA,NA,271.07,269.14,333.02,2.52,12,22.5631,53.5651,72.1554,92.2468
8,P6-DOC-200514,20/05/2014,May-14,DOC,a,P06,Cross Lochs,a,Natural,-27.492,1.072799,0.004908,NA,NA,ranges2014-10ky,6.08,6.6,5.55,85.82,80.84,92.16,7.76,33.22,55.4098,91.1342,98.2372,99.9689
9,P7-DOC-200514,20/05/2014,May-14,DOC,a,P07,Cross Lochs,a,Restoration,-28.808,1.063382,0.004857,NA,NA,ranges2014-10ky,5.05,5.59,4.49,98.91,91.69,107.54,6.77,29.56,50.3818,87.7842,96.9925,99.9095
10,P9-DOC-200514,20/05/2014,May-14,DOC,a,P09,Cross Lochs,a,Restoration,-28.603,1.051932,0.004819,NA,NA,ranges2014-10ky,3.68,4.28,3.02,114.31,111.05,123.72,5.88,26.15,45.4663,83.7821,95.1769,99.7674
11,P10-DOC-200514,20/05/2014,May-14,DOC,a,P10,Cross Lochs,a,Restoration,-28.736,1.08923,0.004746,NA,NA,ranges2014-10ky,7.84,8.35,7.3,68.66,64.97,73.45,9.6,39.64,63.562,95.162,99.3577,99.9959
12,P1-POC-200514,20/05/2014,May-14,POC,b,P01,Cross Lochs,a,Natural,-27.481,0.982841,0.004621,139,38,ranges2014-10ky,NA,NA,NA,329.55,270.82,364.86,2.08,9.98,18.9683,46.7935,65.0639,87.7947
