Date,Site,Location,Pool_type,DOC_yBSD,DOC_yBSD_un,CO2_yBSD,CO2_yBSD_un,DOC_F14C,DOC_F14C_un,CO2_F14C,CO2_F14C_un
08/09/2015,GP04,Garron Plateau,Natural,38,31,63,60,1.093359,0.005009,1.052247,0.004828
08/09/2015,GP05,Garron Plateau,Natural,38,31,59,56,1.093871,0.005017,1.055035,0.004856
08/09/2015,GP10,Garron Plateau,Natural,45,39,81,80,1.079207,0.004702,1.032593,0.004752
04/11/2014,LL02,Loch Leir,Natural,46,41,214,16,1.076358,0.004924,1.012878,0.004418
04/11/2014,LL03,Loch Leir,Natural,158,9,189,19,1.029799,0.004715,1.018685,0.004438
04/11/2014,LL08,Loch Leir,Restoration,52,48,72,71,1.067301,0.00488,1.044783,0.004573
04/11/2014,LL11,Loch Leir,Restoration,45,39,344,17,1.080651,0.004936,0.978477,0.004495
20/05/2014,P01,Cross Lochs,Natural,220,13,185,18,1.003366,0.004599,1.020626,0.004447
15/09/2015,P01,Cross Lochs,Natural,241,26,251,18,1.001332,0.00439,0.996586,0.004342
20/05/2014,P04,Cross Lochs,Natural,300,31,218,9,0.986866,0.004516,1.009365,0.004629
05/11/2014,P04,Cross Lochs,Natural,74,73,190,20,1.039729,0.004761,1.018614,0.004686
15/09/2015,P04,Cross Lochs,Natural,348,13,222,9,0.969007,0.004459,1.006108,0.004983
20/05/2014,P06,Cross Lochs,Natural,49,44,504,89,1.072799,0.004908,0.941947,0.008869
05/11/2014,P06,Cross Lochs,Natural,70,68,162,9,1.04687,0.004793,1.027341,0.004711
15/09/2015,P06,Cross Lochs,Natural,226,7,249,20,1.004347,0.004618,0.996795,0.004742
20/05/2014,P07,Cross Lochs,Restoration,56,52,68,67,1.063382,0.004857,1.044103,0.00478
05/11/2014,P07,Cross Lochs,Restoration,70,69,182,17,1.046599,0.004799,1.021786,0.004452
15/09/2015,P07,Cross Lochs,Restoration,49,43,80,79,1.072543,0.004693,1.034219,0.00475
20/05/2014,P09,Cross Lochs,Restoration,63,61,166,9,1.051932,0.004819,1.025374,0.004691
05/11/2014,P09,Cross Lochs,Restoration,50,45,82,81,1.070732,0.004896,1.031845,0.004743
15/09/2015,P09,Cross Lochs,Restoration,47,42,74,73,1.075007,0.00495,1.039774,0.004765
20/05/2014,P10,Cross Lochs,Restoration,40,34,69,68,1.08923,0.004746,1.047425,0.004802
05/11/2014,P10,Cross Lochs,Restoration,42,36,81,80,1.084924,0.00496,1.032916,0.004507
15/09/2015,P10,Cross Lochs,Restoration,37,29,72,70,1.096223,0.004789,1.045541,0.004802
10/09/2015,SF02,Silver Flowe,Natural,53,49,74,73,1.066017,0.004645,1.040279,0.00478
10/09/2015,SF05,Silver Flowe,Natural,68,65,85,84,1.049408,0.0048,1.028331,0.004487
10/09/2015,SF06,Silver Flowe,Natural,58,54,179,17,1.057652,0.004828,1.023099,0.004699
08/09/2015,SN05,Slieveanorra,Natural,76,75,82,81,1.038485,0.004757,1.031381,0.004722
08/09/2015,SN12,Slieveanorra,Natural,35,26,77,76,1.101895,0.005025,1.037047,0.004751
08/09/2015,SN15,Slieveanorra,Natural,59,56,83,82,1.055426,0.004829,1.030502,0.004733
