Date,Site,Location,Pool_type,DOC_d13C,CO2_d13C,uncertainty
08/09/2015,GP04,Garron Plateau,Natural,-27.613,-15.177,0.1
08/09/2015,GP05,Garron Plateau,Natural,-27.739,-17.113,0.1
08/09/2015,GP10,Garron Plateau,Natural,-27.066,-13.864,0.1
04/11/2014,LL02,Loch Leir,Natural,-27.736,-10.888,0.1
04/11/2014,LL03,Loch Leir,Natural,-26.24,-11.74,0.1
04/11/2014,LL08,Loch Leir,Restoration,-29.112,-20.535,0.1
04/11/2014,LL11,Loch Leir,Restoration,-28.664,-13.667,0.1
20/05/2014,P01,Cross Lochs,Natural,-27.163,-11.016,0.1
15/09/2015,P01,Cross Lochs,Natural,-28.96,-10.843,0.1
20/05/2014,P04,Cross Lochs,Natural,-27.257,-10.831,0.1
05/11/2014,P04,Cross Lochs,Natural,-27.024,-12.974,0.1
15/09/2015,P04,Cross Lochs,Natural,-25.447,-11.9,0.1
05/11/2014,P06,Cross Lochs,Natural,-26.507,-14.487,0.1
15/09/2015,P06,Cross Lochs,Natural,-25.368,-9.444,0.1
20/05/2014,P07,Cross Lochs,Restoration,-28.808,-18.11,0.1
05/11/2014,P07,Cross Lochs,Restoration,-27.407,-11.281,0.1
15/09/2015,P07,Cross Lochs,Restoration,-29.017,-17.824,0.1
20/05/2014,P09,Cross Lochs,Restoration,-28.603,-16.48,0.1
05/11/2014,P09,Cross Lochs,Restoration,-29.002,-15.309,0.1
15/09/2015,P09,Cross Lochs,Restoration,-28.645,-17.974,0.1
20/05/2014,P10,Cross Lochs,Restoration,-28.736,-20.518,0.1
05/11/2014,P10,Cross Lochs,Restoration,-28.756,-18.371,0.1
15/09/2015,P10,Cross Lochs,Restoration,-28.81,-17.366,0.1
10/09/2015,SF02,Silver Flowe,Natural,-25.488,-14.947,0.1
10/09/2015,SF05,Silver Flowe,Natural,-24.782,-12.947,0.1
10/09/2015,SF06,Silver Flowe,Natural,-23.427,-12.718,0.1
08/09/2015,SN05,Slieveanorra,Natural,-27.68,-13.94,0.1
08/09/2015,SN12,Slieveanorra,Natural,-27.819,-13.373,0.1
08/09/2015,SN15,Slieveanorra,Natural,-27.53,-11.002,0.1
