Date,Site,Location,Pool_type,POC_yBSD,POC_yBSD_un,CO2_yBSD,CO2_yBSD_un,POC_F14C,POC_F14C_un,CO2_F14C,CO2_F14C_un
04/11/2014,LL02,Loch Leir,Natural,225,8,214,16,1.004758,0.004378,1.012878,0.004418
04/11/2014,LL03,Loch Leir,Natural,270,2,189,19,0.990905,0.004317,1.018685,0.004438
04/11/2014,LL08,Loch Leir,Restoration,519,72,72,71,0.936968,0.002384,1.044783,0.004573
04/11/2014,LL11,Loch Leir,Restoration,383,18,344,17,0.958319,0.004392,0.978477,0.004495
20/05/2014,P01,Cross Lochs,Natural,317,46,185,18,0.982841,0.004621,1.020626,0.004447
20/05/2014,P04,Cross Lochs,Natural,205,7,218,9,1.013093,0.00474,1.009365,0.004629
05/11/2014,P04,Cross Lochs,Natural,214,8,190,20,1.008064,0.004392,1.018614,0.004686
15/09/2015,P04,Cross Lochs,Natural,352,17,222,9,0.973375,0.004241,1.006108,0.004983
20/05/2014,P06,Cross Lochs,Natural,70,69,504,89,1.042637,0.004897,0.941947,0.008869
05/11/2014,P06,Cross Lochs,Natural,210,8,162,9,1.01174,0.004619,1.027341,0.004711
15/09/2015,P06,Cross Lochs,Natural,224,8,249,20,1.005179,0.00438,0.996795,0.004742
20/05/2014,P07,Cross Lochs,Restoration,184,18,68,67,1.020988,0.00478,1.044103,0.00478
05/11/2014,P07,Cross Lochs,Restoration,80,80,182,17,1.033467,0.004722,1.021786,0.004452
15/09/2015,P07,Cross Lochs,Restoration,243,24,80,79,0.99998,0.004529,1.034219,0.00475
20/05/2014,P09,Cross Lochs,Restoration,427,18,166,9,0.94793,0.00413,1.025374,0.004691
05/11/2014,P09,Cross Lochs,Restoration,209,14,82,81,1.014925,0.00464,1.031845,0.004743
15/09/2015,P09,Cross Lochs,Restoration,309,39,74,73,0.984554,0.00429,1.039774,0.004765
20/05/2014,P10,Cross Lochs,Restoration,219,14,69,68,1.00395,0.004483,1.047425,0.004802
05/11/2014,P10,Cross Lochs,Restoration,163,8,81,80,1.027126,0.004475,1.032916,0.004507
15/09/2015,P10,Cross Lochs,Restoration,86,85,72,70,1.026836,0.004474,1.045541,0.004802
