Date,Site,Location,Pool_type,DOC_yBSD,DOC_yBSD_un,POC_yBSD,POC_yBSD_un,DOC_F14C,DOC_F14C_un,POC_F14C,POC_F14C_un
04/11/2014,LL02,Loch Leir,Natural,46,41,225,8,1.076358,0.004924,1.004758,0.004378
04/11/2014,LL03,Loch Leir,Natural,158,9,270,2,1.029799,0.004715,0.990905,0.004317
04/11/2014,LL08,Loch Leir,Restoration,52,48,519,72,1.067301,0.00488,0.936968,0.002384
04/11/2014,LL11,Loch Leir,Restoration,45,39,383,18,1.080651,0.004936,0.958319,0.004392
20/05/2014,P01,Cross Lochs,Natural,220,13,317,46,1.003366,0.004599,0.982841,0.004621
05/11/2014,P01,Cross Lochs,Natural,244,24,364,12,0.999308,0.004588,0.963979,0.00442
20/05/2014,P04,Cross Lochs,Natural,300,31,205,7,0.986866,0.004516,1.013093,0.00474
05/11/2014,P04,Cross Lochs,Natural,74,73,214,8,1.039729,0.004761,1.008064,0.004392
15/09/2015,P04,Cross Lochs,Natural,348,13,352,17,0.969007,0.004459,0.973375,0.004241
20/05/2014,P06,Cross Lochs,Natural,49,44,70,69,1.072799,0.004908,1.042637,0.004897
05/11/2014,P06,Cross Lochs,Natural,70,68,210,8,1.04687,0.004793,1.01174,0.004619
15/09/2015,P06,Cross Lochs,Natural,226,7,224,8,1.004347,0.004618,1.005179,0.00438
20/05/2014,P07,Cross Lochs,Restoration,56,52,184,18,1.063382,0.004857,1.020988,0.00478
05/11/2014,P07,Cross Lochs,Restoration,70,69,80,80,1.046599,0.004799,1.033467,0.004722
15/09/2015,P07,Cross Lochs,Restoration,49,43,243,24,1.072543,0.004693,0.99998,0.004529
20/05/2014,P09,Cross Lochs,Restoration,63,61,427,18,1.051932,0.004819,0.94793,0.00413
05/11/2014,P09,Cross Lochs,Restoration,50,45,209,14,1.070732,0.004896,1.014925,0.00464
15/09/2015,P09,Cross Lochs,Restoration,47,42,309,39,1.075007,0.00495,0.984554,0.00429
20/05/2014,P10,Cross Lochs,Restoration,40,34,219,14,1.08923,0.004746,1.00395,0.004483
05/11/2014,P10,Cross Lochs,Restoration,42,36,163,8,1.084924,0.00496,1.027126,0.004475
15/09/2015,P10,Cross Lochs,Restoration,37,29,86,85,1.096223,0.004789,1.026836,0.004474
17/09/2015,MUN01,Munsary,Natural,53,48,212,8,1.0665,0.0049,1.0110,0.0046
