Site,Location,Pool_type,Depth,Area,Perimeter,r_time,d_area
P01,Cross Lochs,Natural,50,868,246,192,427
P02,Cross Lochs,Natural,52,39,25,6,34
P03,Cross Lochs,Natural,9,30,19,1,154
P04,Cross Lochs,Natural,43,115,58,89,177
P05,Cross Lochs,Natural,31,15,21,51,2
P06,Cross Lochs,Natural,30,24,19,32,89
P07,Cross Lochs,Restoration,34,6,12,19,45
P08,Cross Lochs,Restoration,37,2,8,5,77
P09,Cross Lochs,Restoration,38,6,13,16,67
P10,Cross Lochs,Restoration,39,4,8,0.5,1264
P11,Cross Lochs,Restoration,43,1,7,10,21
P12,Cross Lochs,Restoration,47,2,2,2,102
LL02,Loch Leir,Natural,37.8,80.3,37.4,,
LL03,Loch Leir,Natural,46.4,174,67.7,,
LL08,Loch Leir,Restoration,,7,9,,
LL11,Loch Leir,Restoration,,10,7,,
MUN01,Munsary,Natural,38.15,55,36,,
MUN02,Munsary,Natural,37.45,1757,725,,
MUN03,Munsary,Restoration,59.75,189,89.8,,
SF02,Silver Flowe,Natural,33.9,67,54.4,,
SF05,Silver Flowe,Natural,34.5,492,363,,
SF06,Silver Flowe,Natural,33.8,103,97.8,,
SN05,Slieveanorra,Natural,35.25,19,22.5,,
SN12,Slieveanorra,Natural,30.95,8.23,19.2,,
SN15,Slieveanorra,Natural,42.27777778,43.6,42.3,,
GP04,Garron Plateau,Natural,47.15,108,138,,
GP05,Garron Plateau,Natural,49.55,40.9,49.6,,
GP10,Garron Plateau,Natural,57.41666667,26,22.7,,
