Site,Date,C_species,Sample_ID,F14C,1sig
P01,20/05/2014,CO2,P1-CO2-200514,1.020626,0.004447
P04,20/05/2014,CO2,P4-CO2-200514,1.009365,0.004629
P07,20/05/2014,CO2,P7-CO2-200514,1.044103,0.00478
P09,20/05/2014,CO2,P9-CO2-200514,1.025374,0.004691
P10,20/05/2014,CO2,P10-CO2-200514,1.047425,0.004802
P01,20/05/2014,DOC,P1-DOC-200514,1.003366,0.004599
P04,20/05/2014,DOC,P4-DOC-200514,0.986866,0.004516
P06,20/05/2014,DOC,P6-DOC-200514,1.072799,0.004908
P07,20/05/2014,DOC,P7-DOC-200514,1.063382,0.004857
P09,20/05/2014,DOC,P9-DOC-200514,1.051932,0.004819
P10,20/05/2014,DOC,P10-DOC-200514,1.08923,0.004746
P01,20/05/2014,POC,P1-POC-200514,0.982841,0.004621
P04,20/05/2014,POC,P4-POC-200514,1.013093,0.00474
P06,20/05/2014,POC,P6-POC-200514,1.042637,0.004897
P07,20/05/2014,POC,P7-POC-200514,1.020988,0.00478
P09,20/05/2014,POC,P9-POC-200514,0.94793,0.00413
P10,20/05/2014,POC,P10-POC-200514,1.00395,0.004483
LL11,04/11/2014,POC,LL11-POC-041114,0.958319,0.004392
LL02,04/11/2014,POC,LL02-POC-041114,1.004758,0.004378
LL03,04/11/2014,POC,LL03-POC-041114,0.990905,0.004317
P06,05/11/2014,POC,P6-POC-051114,1.01174,0.004619
P04,05/11/2014,POC,P4-POC-051114,1.008064,0.004392
P01,05/11/2014,POC,P1-POC-051114,0.963979,0.00442
P07,05/11/2014,POC,P7-POC-051114,1.033467,0.004722
P09,05/11/2014,POC,P9-POC-051114,1.014925,0.00464
P10,05/11/2014,POC,P10-POC-051114,1.027126,0.004475
P03,,CH4,PO3 EB-CH4,1.025183,0.00468
P05,,CH4,PO5 EB-CH4,1.075819,0.004939
P11,,CH4,P11 EB-CH4,1.030602,0.004708
LL11,04/11/2014,CO2,LL11-CO2-041114,0.978477,0.004495
LL08,04/11/2014,CO2,LL08-CO2-041114,1.044783,0.004573
LL02,04/11/2014,CO2,LL02-CO2-041114,1.012878,0.004418
LL03,04/11/2014,CO2,LL03-CO2-041114,1.018685,0.004438
P06,05/11/2014,CO2,P6-CO2-051114,1.027341,0.004711
P04,05/11/2014,CO2,P4-CO2-051114,1.018614,0.004686
P07,05/11/2014,CO2,P7-CO2-051114,1.021786,0.004452
P09,05/11/2014,CO2,P9-CO2-051114,1.031845,0.004743
P10,05/11/2014,CO2,P10-CO2-051114,1.032916,0.004507
P03,,CO2,PO3 EB-CO2,1.016847,0.004454
LL11,04/11/2014,DOC,LL11-DOC-041114,1.080651,0.004936
LL08,04/11/2014,DOC,LL08-DOC-041114,1.067301,0.00488
LL02,04/11/2014,DOC,LL02-DOC-041114,1.076358,0.004924
LL03,04/11/2014,DOC,LL03-DOC-041114,1.029799,0.004715
P06,05/11/2014,DOC,P6-DOC-051114,1.04687,0.004793
P04,05/11/2014,DOC,P4-DOC-051114,1.039729,0.004761
P01,05/11/2014,DOC,P1-DOC-051114,0.999308,0.004588
P07,05/11/2014,DOC,P7-DOC-051114,1.046599,0.004799
P09,05/11/2014,DOC,P9-DOC-051114,1.070732,0.004896
P10,05/11/2014,DOC,P10-DOC-051114,1.084924,0.00496
P01,,Sed,P1-EdT,0.760774,0.003323
P05,,Sed,P5-EdT,0.927357,0.004258
P07,,Sed,P7-EdT,0.737064,0.00339
GP04,08/09/2015,CO2,GP4-CO2-080915,1.052247,0.004828
GP05,08/09/2015,CO2,GP5-CO2-080915,1.055035,0.004856
GP10,08/09/2015,CO2,GP10-CO2-080915,1.032593,0.004752
SN05,08/09/2015,CO2,SN5-CO2-080915,1.031381,0.004722
SN12,08/09/2015,CO2,SN12-CO2-080915,1.037047,0.004751
SN15,08/09/2015,CO2,SN15-CO2-080915,1.030502,0.004733
SF02,10/09/2015,CO2,SF2-CO2-100915,1.040279,0.00478
SF05,10/09/2015,CO2,SF5-CO2-100915,1.028331,0.004487
SF06,10/09/2015,CO2,SF6-CO2-100915,1.023099,0.004699
P01,15/09/2015,CO2,P1-CO2-150915,0.996586,0.004342
P04,15/09/2015,CO2,P4-CO2-150915,1.006108,0.004983
P06,15/09/2015,CO2,P6-CO2-150915,0.996795,0.004742
P07,15/09/2015,CO2,P7-CO2-150915,1.034219,0.00475
P09,15/09/2015,CO2,P9-CO2-150915,1.039774,0.004765
P10,15/09/2015,CO2,P10-CO2-150915,1.045541,0.004802
GP04,08/09/2015,DOC,GP4-DOC-080915,1.093359,0.005009
